timestamp,model,pages,input_tokens,output_tokens,input_cost_usd,output_cost_usd,total_cost_usd
2026-05-28T16:55:30,gemini-3.1-flash-lite,1,30653,1719,0.007663,0.002579,0.010242
2026-05-28T16:55:58,gemini-3.1-flash-lite,1,30489,1185,0.007622,0.001778,0.009400
2026-05-28T16:56:46,gemini-3.1-flash-lite,1,30457,920,0.007614,0.001380,0.008994
2026-05-28T17:16:10,gemini-3.1-flash-lite,49,1454750,61858,0.363687,0.092787,0.456475
2026-05-29T10:37:24,gemini-3.1-flash-lite,6,278138,4628,0.069534,0.006942,0.076477
2026-05-29T11:59:04,gemini-3.1-flash-lite,6,278881,4773,0.069720,0.007160,0.076880
2026-05-29T12:35:42,gemini-3.1-flash-lite,6,279320,5348,0.069830,0.008022,0.077852
2026-05-29T12:39:48,gemini-3.1-flash-lite,6,279320,5348,0.069830,0.008022,0.077852
2026-05-29T12:57:20,gemini-3.1-flash-lite,6,278257,4779,0.069564,0.007169,0.076733
2026-05-29T13:05:15,gemini-3.1-flash-lite,6,278865,4779,0.069716,0.007169,0.076885
2026-05-29T13:17:22,gemini-3.1-flash-lite,6,278864,4779,0.069716,0.007169,0.076884
2026-05-29T14:08:16,gemini-3.1-flash-lite,7,326031,6682,0.081508,0.010023,0.091531
2026-05-29T14:22:11,gemini-3.1-flash-lite,49,2284084,40346,0.571021,0.060519,0.631540
2026-05-29T15:21:57,gemini-3.1-flash-lite,6,279888,5993,0.069972,0.008990,0.078962
2026-05-29T15:32:43,gemini-3.1-flash-lite,52,2441064,36155,0.610266,0.054233,0.664498
2026-05-29T17:48:49,gemini-3.1-flash-lite,52,2430572,38933,0.607643,0.058400,0.666043
2026-05-29T17:57:38,gemini-3.1-flash-lite,52,2441064,36155,0.610266,0.054233,0.664498
2026-05-29T19:11:09,gemini-3.1-flash-lite,52,2446099,34065,0.611525,0.051097,0.662622
2026-06-02T13:28:01,gemini-3.1-flash-lite,52,2431168,41057,0.607792,0.061586,0.669377
2026-06-02T14:41:50,gemini-3.1-flash-lite,1,52892,1398,0.013223,0.002097,0.015320
2026-06-02T14:53:29,gemini-3.1-flash-lite,52,2466097,43619,0.616524,0.065429,0.681953
2026-06-02T15:38:31,gemini-3.1-flash-lite,1,45691,688,0.011423,0.001032,0.012455
2026-06-02T16:06:33,gemini-3.1-flash-lite,52,2479788,48038,0.619947,0.072057,0.692004
2026-06-02T16:38:53,gemini-3.1-flash-lite,52,2488954,49668,0.622239,0.074502,0.696740
2026-06-03T15:50:02,gemini-3.1-flash-lite,4,189567,2623,0.047392,0.003934,0.051326
2026-06-03T16:35:54,gemini-3.1-flash-lite,1,50529,754,0.012632,0.001131,0.013763
2026-06-03T17:26:15,gemini-3.1-flash-lite,43,2164356,82713,0.541089,0.124069,0.665158
2026-06-03T21:24:31,gemini-3.5-flash,1,56918,2921,0.085377,0.026289,0.111666
2026-06-03T21:39:04,gemini-3.5-flash,43,2053683,88447,3.080525,0.796023,3.876548
2026-06-04T12:37:57,gemini-3.5-flash,76,3738916,112167,5.608374,1.009503,6.617877
2026-06-05T17:43:18,gemini-3.5-flash,3,166139,6411,0.249208,0.057699,0.306907
2026-06-07T11:57:07,gemini-3.5-flash,274,13157856,317918,19.736784,2.861262,22.598046
2026-06-08T17:03:30,gemini-3.5-flash,272,13218483,542448,19.827725,4.882032,24.709757
2026-06-09T12:12:11,gemini-3.5-flash,4,192536,9198,0.288804,0.082782,0.371586
2026-06-09T14:17:04,gemini-3.5-flash,267,13292616,630162,19.938924,5.671458,25.610382
2026-06-09T16:08:46,gemini-3.5-flash,4,199885,7995,0.299828,0.071955,0.371783
2026-06-09T16:14:25,gemini-3.5-flash,1,50412,2361,0.075618,0.021249,0.096867
2026-06-09T18:06:13,gemini-3.5-flash,83,4199865,198860,6.299798,1.789740,8.089538
2026-06-10T16:48:09,gemini-3.5-flash,12,638293,34682,0.957439,0.312138,1.269578
2026-06-10T18:56:08,gemini-3.5-flash,310,17484223,806903,26.226335,7.262127,33.488461
2026-06-11T11:51:15,gemini-3.5-flash,25,1181315,29535,1.771972,0.265815,2.037787
2026-06-11T12:53:16,gemini-3.5-flash,15,841836,12111,1.262754,0.108999,1.371753
2026-06-11T14:22:28,gemini-3.5-flash,359,18419485,251335,27.629228,2.262015,29.891243
2026-06-12T16:17:35,gemini-3.5-flash,1,52406,1622,0.078609,0.014598,0.093207
2026-06-13T02:55:42,gemini-3.5-flash,6,317590,25388,0.476385,0.228492,0.704877
2026-06-13T03:00:29,gemini-3.5-flash,12,644958,50646,0.967437,0.455814,1.423251
2026-06-13T03:01:40,gemini-3.5-flash,2,107636,1740,0.161454,0.015660,0.177114
